"1712120", "Nguyễn Văn A", "Công nghệ thông tin", "nva@gmail.com", "20/01/1999", "1712120.jpg", "Dễ thương", "Âm nhạc: Kpop, Vpop", "Điện ảnh: Harry Potter"
"1712121", "Trần Văn B", "Công nghệ thông tin", "tvb@gmail.com", "10/04/1999", "1712121.jpg", "Tôi là người rất thân thiện"
"1712122", "Nguyễn Thị C", "Công nghệ thông tin", "ntc@gmail.com", "15/04/1999", "1712122.jpg", "Tôi là người rất thân thiện", "Ok, tất ca tốt", "Được ăn ngon"
"1712123", "Ngô Văn D", "Công nghệ thông tin", "nvd@gmail.com", "29/02/1999", "1712123.jpg", "Tôi là người khá nóng tính", "Xem phim", "Nghe nhạc", Chơi thể thao"
"1712124", "Trần Thị E", "Công nghệ thông tin", "tte@gmail.com", "31/12/1999", "1712124.jpg", "Không có gì đặc biệt", "Ăn", "Ngủ"
"1712125", "Lý Văn F", "Công nghệ thông tin", "lvf@gmail.com", "15/09/1999", "1712125.jpg", "Cởi mở, vui tươi, hòa nhã", "Bơi lội", Tán gẫu"
"1712126", "Lê Thị Ngọc G", "Công nghệ thông tin", "ltng@gmail.com", "13/06/1999", "1712126.jpg", "Hòa đồng, vui vẻ", "Ăn vặt", "Xem phim"
"1712127", "Đỗ Phi H", "Công nghệ thông tin", "dph@gmail.com", "21/06/1999", "1712127.jpg", "Tôi là người vui tính", "Học lịch sử", "Chơi game"
"1712128", "Hà Thị K", "Công nghệ thông tin", "htk@gmail.com", "23/06/1999", "1712128.jpg", "Vui tính, Hài hước", "Xem phim Hàn", "Mua sắm"
"1712129", "Lê Văn L", "Công nghệ thông tin", "lvl@gmail.com", "14/03/1999", "1712129.jpg", "Thân thiện, hòa đồng", "Đọc sách"
